"UMI_cellID","UMI_transID","target","x","y","z","tLLR_maxCellType","score_tLLR_maxCellType","SVM_class","transComp"
"c_1_51_238",494895,"PRSS1",6402.50897800954,-4999.12625849896,5.6,"Acinar.1",0,1,"intraC"
"c_1_51_238",494896,"EIF4B",6403.35058898151,-4999.12625849896,5.6,"Acinar.1",-0.0262304426350379,1,"intraC"
"c_1_51_238",494897,"MLC1",6399.26126564122,-4999.00609647917,4.8,"Acinar.1",-0.770616576511687,1,"intraC"
"c_1_51_238",494898,"CTTN",6399.50206651421,-4999.00609647917,3.2,"Acinar.1",-1.31771976862633,1,"intraC"
"c_1_51_238",494899,"CTTN",6399.50206651421,-4999.00609647917,4,"Acinar.1",-1.31771976862633,1,"intraC"
"c_1_51_238",494900,"CD99",6400.1033534466,-4999.00609647917,4,"Acinar.1",-1.8003698912523,1,"intraC"
"c_1_51_238",494901,"SERPINI2",6400.22351546639,-4999.00609647917,4,"Acinar.1",0,1,"intraC"
"c_1_51_238",494902,"PLA2G1B",6400.34367748619,-4999.00609647917,5.6,"Acinar.1",0,1,"intraC"
"c_1_51_238",494903,"PLA2G1B",6400.34367748619,-4999.00609647917,4.8,"Acinar.1",0,1,"intraC"
"c_1_51_238",494904,"SERPINI2",6400.34367748619,-4999.00609647917,3.2,"Acinar.1",0,1,"intraC"
"c_1_51_238",494905,"PABPN1",6400.58447835918,-4999.00609647917,4,"Acinar.1",-0.695717207442518,1,"intraC"
"c_1_51_238",494906,"DDX5",6401.18576529157,-4999.00609647917,2.4,"Acinar.1",-0.910125785135916,1,"intraC"
"c_1_51_238",494907,"CELA3B",6402.62914002933,-4999.00609647917,5.6,"Acinar.1",0,1,"intraC"
"c_1_51_238",494908,"CPB1",6402.74930204912,-4999.00609647917,4.8,"Acinar.1",0,1,"intraC"
"c_1_51_238",494909,"CPB1",6402.74930204912,-4999.00609647917,5.6,"Acinar.1",0,1,"intraC"
"c_1_51_238",494910,"CELA3B",6399.02094160163,-4998.88593445937,4.8,"Acinar.1",0,1,"intraC"
"c_1_51_238",494911,"ACADL",6399.26126564122,-4998.88593445937,4,"Acinar.1",-0.888850023664318,1,"intraC"
"c_1_51_238",494912,"ACADL",6399.38142766101,-4998.88593445937,3.2,"Acinar.1",-0.888850023664318,1,"intraC"
"c_1_51_238",494913,"RPS10",6399.62222853402,-4998.88593445937,5.6,"Acinar.1",-0.137018205007391,1,"intraC"
"c_1_51_238",494914,"PNLIP",6399.7423905538,-4998.88593445937,5.6,"Acinar.1",0,1,"intraC"
"c_1_51_238",494915,"CPAMD8",6400.22351546639,-4998.88593445937,5.6,"Acinar.1",-0.0227283108335081,1,"intraC"
"c_1_51_238",494916,"PRSS1",6400.70464037899,-4998.88593445937,5.6,"Acinar.1",0,1,"intraC"
"c_1_51_238",494917,"PRSS1",6400.70464037899,-4998.88593445937,4.8,"Acinar.1",0,1,"intraC"
"c_1_51_238",494918,"CELA3A",6401.66689020415,-4998.88593445937,5.6,"Acinar.1",0,1,"intraC"
"c_1_51_238",494919,"CELA3A",6401.78705222395,-4998.88593445937,4.8,"Acinar.1",0,1,"intraC"
