Feature	Comparison	Estimate	P	FDR	sig_level
Cytokeratin 8 (phospho S431)	No vs Yes	-0.520109604503021	0.331071807138077	0.995681809340043	NS or Estimate < 0.25
mTOR (phospho S2448)	No vs Yes	0.0462217902697315	0.907022379686282	0.995681809340043	NS or Estimate < 0.25
PD1	No vs Yes	-0.0106756780486754	0.978070978433409	0.995681809340043	NS or Estimate < 0.25
Bax	No vs Yes	0.287854230673223	0.486189391921733	0.995681809340043	NS or Estimate < 0.25
cIAP2	No vs Yes	-0.147370858004438	0.552017297332059	0.995681809340043	NS or Estimate < 0.25
EMR1/ADGRE1	No vs Yes	-0.0254088117084707	0.946215463712163	0.995681809340043	NS or Estimate < 0.25
Lactate Dehydrogenase	No vs Yes	-0.213817521164853	0.640172658230411	0.995681809340043	NS or Estimate < 0.25
CSF-1-R	No vs Yes	0.00734536899906364	0.989426627870618	0.995681809340043	NS or Estimate < 0.25
Topoisomerase II alpha	No vs Yes	0.237785583984034	0.523870742099532	0.995681809340043	NS or Estimate < 0.25
S6K1	No vs Yes	0.128592042038899	0.773073547979416	0.995681809340043	NS or Estimate < 0.25
ARID1A	No vs Yes	0.0140363812272356	0.974268892572688	0.995681809340043	NS or Estimate < 0.25
Androgen Receptor	No vs Yes	-0.341143348657714	0.512612044384765	0.995681809340043	NS or Estimate < 0.25
Glutathione Peroxidase 4	No vs Yes	0.0924267383924575	0.827121338996717	0.995681809340043	NS or Estimate < 0.25
Caveolin-1	No vs Yes	-0.0169572050337636	0.981579781799806	0.995681809340043	NS or Estimate < 0.25
Smad2	No vs Yes	0.0654883617982931	0.867565801032824	0.995681809340043	NS or Estimate < 0.25
CD90 / Thy1	No vs Yes	0.31603655460611	0.59473801380158	0.995681809340043	NS or Estimate < 0.25
MMP9	No vs Yes	0.00128956960486019	0.996055714099654	0.998993765391763	NS or Estimate < 0.25
AIF	No vs Yes	0.0923147685239473	0.805596430558296	0.995681809340043	NS or Estimate < 0.25
ACE2	No vs Yes	-0.196798987456009	0.733675716764317	0.995681809340043	NS or Estimate < 0.25
Aldolase	No vs Yes	-0.0200197410135064	0.958765116410452	0.995681809340043	NS or Estimate < 0.25
S100P	No vs Yes	0.0856764232172662	0.657034173555504	0.995681809340043	NS or Estimate < 0.25
Hsp90	No vs Yes	0.204332863679887	0.452203897900068	0.995681809340043	NS or Estimate < 0.25
Smad3	No vs Yes	-0.00949966595476139	0.978438308964787	0.995681809340043	NS or Estimate < 0.25
IKB alpha	No vs Yes	0.00853016499070697	0.98273430880362	0.995681809340043	NS or Estimate < 0.25
Progesterone Receptor	No vs Yes	-0.0841723134851988	0.830728567846272	0.995681809340043	NS or Estimate < 0.25
alpha smooth muscle Actin	No vs Yes	-0.374191869646753	0.719932023920058	0.995681809340043	NS or Estimate < 0.25
15 Lipoxygenase 1	No vs Yes	-0.043449658383617	0.889976862870912	0.995681809340043	NS or Estimate < 0.25
ATG7	No vs Yes	0.52515073439438	0.299425541231063	0.995681809340043	NS or Estimate < 0.25
C5 / C5b	No vs Yes	-0.0518661097716393	0.894351953019893	0.995681809340043	NS or Estimate < 0.25
Lamin A + Lamin B1 + Lamin C	No vs Yes	0.316486477191523	0.591265353744113	0.995681809340043	NS or Estimate < 0.25
Syk (phospho Y323)	No vs Yes	0.059643244951485	0.865712035058574	0.995681809340043	NS or Estimate < 0.25
PTEN (phospho T366)	No vs Yes	-0.00114901811840673	0.997672707139982	0.998993765391763	NS or Estimate < 0.25
BTK	No vs Yes	0.164615698142085	0.594584471351801	0.995681809340043	NS or Estimate < 0.25
Brd4	No vs Yes	0.128928013947851	0.882238741095471	0.995681809340043	NS or Estimate < 0.25
CD22	No vs Yes	-0.0269131840819022	0.935788063917293	0.995681809340043	NS or Estimate < 0.25
VEGFA	No vs Yes	-0.0640334659743331	0.890837812353444	0.995681809340043	NS or Estimate < 0.25
IL-33	No vs Yes	0.0496397325007242	0.889869584828708	0.995681809340043	NS or Estimate < 0.25
Cdk2	No vs Yes	-0.0255301536123159	0.950767895720494	0.995681809340043	NS or Estimate < 0.25
NAK/TBK1	No vs Yes	0.243110081491553	0.50995502460546	0.995681809340043	NS or Estimate < 0.25
ATF2	No vs Yes	0.051793549012232	0.890500104086358	0.995681809340043	NS or Estimate < 0.25
ErbB3 / HER3	No vs Yes	-0.0960576824951551	0.809662166274395	0.995681809340043	NS or Estimate < 0.25
SMAD1 + SMAD5 + SMAD9 (phospho S463 + S465 + S467)	No vs Yes	0.196272926262448	0.70265546770673	0.995681809340043	NS or Estimate < 0.25
Pan Trk	No vs Yes	0.0692665999939474	0.850768069717828	0.995681809340043	NS or Estimate < 0.25
Axl	No vs Yes	-0.204773669989923	0.65170911634831	0.995681809340043	NS or Estimate < 0.25
c-Myc	No vs Yes	0.0249439693630773	0.934044769369143	0.995681809340043	NS or Estimate < 0.25
NF-kB p65	No vs Yes	0.0988266740541058	0.862053153235746	0.995681809340043	NS or Estimate < 0.25
Calreticulin	No vs Yes	0.176863254909626	0.717305989861963	0.995681809340043	NS or Estimate < 0.25
Histone H3	No vs Yes	0.603174793312937	0.0410773125102011	0.995681809340043	P < 0.05
RPS6	No vs Yes	0.389314723987375	0.093077024083988	0.995681809340043	NS or Estimate < 0.25
TOMM20	No vs Yes	0.138306694973055	0.808433574214589	0.995681809340043	NS or Estimate < 0.25
GAPDH	No vs Yes	-0.390586862543004	0.399511108006166	0.995681809340043	NS or Estimate < 0.25
Hmr IgG	No vs Yes	-0.164765221794583	0.684580217865715	0.995681809340043	NS or Estimate < 0.25
Ms IgG2b	No vs Yes	0.0757157385107088	0.289020580263113	0.995681809340043	NS or Estimate < 0.25
Rb IgG	No vs Yes	0.0958007890762428	0.619189904645501	0.995681809340043	NS or Estimate < 0.25
Rt IgG2a	No vs Yes	0.0695418098499683	0.675498130549448	0.995681809340043	NS or Estimate < 0.25
Ms IgG1	No vs Yes	-0.0476654694425684	0.737225498352042	0.995681809340043	NS or Estimate < 0.25
