Feature	Comparison	Estimate	P	FDR	sig_level
EpCAM	No vs Yes	-0.798802495027969	0.347986918998488	0.995681809340043	NS or Estimate < 0.25
PD-L1	No vs Yes	-0.0258841916190981	0.920422858157605	0.995681809340043	NS or Estimate < 0.25
CCR7	No vs Yes	0.0552910181054585	0.864371530408812	0.995681809340043	NS or Estimate < 0.25
CD276	No vs Yes	-0.222821169435884	0.818946423352921	0.995681809340043	NS or Estimate < 0.25
Bim	No vs Yes	0.0425116634689109	0.871675042318131	0.995681809340043	NS or Estimate < 0.25
GATA3	No vs Yes	0.0375140253462435	0.910749925023174	0.995681809340043	NS or Estimate < 0.25
CD3D	No vs Yes	0.250713363961096	0.693585522714501	0.995681809340043	NS or Estimate < 0.25
CD15	No vs Yes	-0.514600394877773	0.29699312511161	0.995681809340043	NS or Estimate < 0.25
CD44v6	No vs Yes	0.138060972321995	0.69703838235242	0.995681809340043	NS or Estimate < 0.25
FANCI	No vs Yes	0.147267918450755	0.601067446320282	0.995681809340043	NS or Estimate < 0.25
AKT1 (phospho T450)	No vs Yes	0.0330203161387364	0.918178954795685	0.995681809340043	NS or Estimate < 0.25
Aldolase B+Aldolase C	No vs Yes	0.110262322731699	0.652818178274598	0.995681809340043	NS or Estimate < 0.25
Fas	No vs Yes	-0.00465515077430891	0.981297175565638	0.995681809340043	NS or Estimate < 0.25
Collagen I	No vs Yes	-0.382039050042132	0.774141396023178	0.995681809340043	NS or Estimate < 0.25
CD68	No vs Yes	0.801108211617142	2.39539424930322e-05	0.00463109554865289	FDR < 0.05
CD45RA	No vs Yes	0.0124681272888132	0.972794043584125	0.995681809340043	NS or Estimate < 0.25
CD66b	No vs Yes	0.231839999438047	0.536021013564103	0.995681809340043	NS or Estimate < 0.25
ENO1 + ENO2 + ENO3	No vs Yes	-0.127103444253995	0.625064672936751	0.995681809340043	NS or Estimate < 0.25
Carbonic Anhydrase 3/CA3	No vs Yes	0.100997276676263	0.75474014202958	0.995681809340043	NS or Estimate < 0.25
CD4	No vs Yes	0.265828469776862	0.495755257570867	0.995681809340043	NS or Estimate < 0.25
C Reactive Protein	No vs Yes	-0.153393516925933	0.539374333330035	0.995681809340043	NS or Estimate < 0.25
Tissue Factor	No vs Yes	0.0236626716906559	0.932089914050396	0.995681809340043	NS or Estimate < 0.25
Bcl-2	No vs Yes	-0.0196470241111966	0.968302333889942	0.995681809340043	NS or Estimate < 0.25
CD3G	No vs Yes	-0.126845644016989	0.82384736621885	0.995681809340043	NS or Estimate < 0.25
FGF2	No vs Yes	-0.0316361213925756	0.897308305413669	0.995681809340043	NS or Estimate < 0.25
Fibronectin	No vs Yes	-0.580321127180418	0.719386262933341	0.995681809340043	NS or Estimate < 0.25
Survivin	No vs Yes	-0.00300754432202713	0.987747824874536	0.995681809340043	NS or Estimate < 0.25
CDKN2A/p16INK4a	No vs Yes	-0.174052791427835	0.50709951931299	0.995681809340043	NS or Estimate < 0.25
FABP4	No vs Yes	-0.208008134976402	0.705594891184227	0.995681809340043	NS or Estimate < 0.25
CD27	No vs Yes	0.204669666752228	0.660065182896176	0.995681809340043	NS or Estimate < 0.25
CXCL10/IP-10	No vs Yes	0.0400276200696261	0.879768387942224	0.995681809340043	NS or Estimate < 0.25
EGFR (phospho Y1068)	No vs Yes	-0.124006524617687	0.876480573601008	0.995681809340043	NS or Estimate < 0.25
Histone H3 (phospho S28)	No vs Yes	0.289436929290509	0.686428228647003	0.995681809340043	NS or Estimate < 0.25
Actin	No vs Yes	-0.17134861454246	0.641234642053329	0.995681809340043	NS or Estimate < 0.25
CDK1 + CDK2 + CDK3 + CDK5 (phospho Y15)	No vs Yes	-0.228991592444137	0.306079318391663	0.995681809340043	NS or Estimate < 0.25
Carbonic Anhydrase 9/CA9	No vs Yes	-0.31185461375523	0.465514308448421	0.995681809340043	NS or Estimate < 0.25
FOXP3	No vs Yes	-0.0591756186365737	0.766290273838989	0.995681809340043	NS or Estimate < 0.25
GSK3 beta	No vs Yes	0.386516268152569	0.220502283248202	0.995681809340043	NS or Estimate < 0.25
HLA B7	No vs Yes	-0.309403230370784	0.553036806911352	0.995681809340043	NS or Estimate < 0.25
beta Catenin	No vs Yes	0.160050132248458	0.845748072431938	0.995681809340043	NS or Estimate < 0.25
Bad	No vs Yes	0.264697738981176	0.406064063673303	0.995681809340043	NS or Estimate < 0.25
KMT6 / EZH2	No vs Yes	0.159468962780566	0.668980649270988	0.995681809340043	NS or Estimate < 0.25
BRAF	No vs Yes	0.210254459983738	0.537116119370857	0.995681809340043	NS or Estimate < 0.25
CDKN2A/p14ARF	No vs Yes	-0.119962195220877	0.607236942609768	0.995681809340043	NS or Estimate < 0.25
CD34	No vs Yes	0.283516992297514	0.465362911981179	0.995681809340043	NS or Estimate < 0.25
ASS1	No vs Yes	0.143956950812565	0.635389919288469	0.995681809340043	NS or Estimate < 0.25
C4a	No vs Yes	-0.197695844325979	0.762530424502877	0.995681809340043	NS or Estimate < 0.25
N Cadherin	No vs Yes	0.218479845252512	0.386431787992942	0.995681809340043	NS or Estimate < 0.25
CDK1 + Cdk2 + Cdk3 (phospho T14)	No vs Yes	0.00275234911052075	0.990341221345272	0.995681809340043	NS or Estimate < 0.25
ErbB2 / HER2	No vs Yes	0.101436757200778	0.943582496404404	0.995681809340043	NS or Estimate < 0.25
Bcl-XL	No vs Yes	0.547063059557936	0.0923177502200141	0.995681809340043	NS or Estimate < 0.25
Cathepsin K	No vs Yes	0.0495240968779763	0.869361566784232	0.995681809340043	NS or Estimate < 0.25
CD39	No vs Yes	0.486275245262921	0.131886522921059	0.995681809340043	NS or Estimate < 0.25
CDK1 (phospho T161) + CDK2 / CDK3 (phospho T160)	No vs Yes	0.366519032949414	0.620191532423606	0.995681809340043	NS or Estimate < 0.25
CD36	No vs Yes	-0.0267330444158186	0.937836293796681	0.995681809340043	NS or Estimate < 0.25
CD99	No vs Yes	0.238814360913336	0.339099002014218	0.995681809340043	NS or Estimate < 0.25
Liver Arginase	No vs Yes	0.186546413856067	0.32630691169356	0.995681809340043	NS or Estimate < 0.25
CD38	No vs Yes	1.05180893935848	0.202341613925523	0.995681809340043	NS or Estimate < 0.25
CD8 alpha	No vs Yes	0.0386380664211784	0.929178860557728	0.995681809340043	NS or Estimate < 0.25
AKR1B10	No vs Yes	-0.113849692003514	0.68475862683121	0.995681809340043	NS or Estimate < 0.25
Chk2	No vs Yes	0.195469202310509	0.730212338799819	0.995681809340043	NS or Estimate < 0.25
CD18	No vs Yes	-0.0438645983605123	0.810858107260369	0.995681809340043	NS or Estimate < 0.25
CD163	No vs Yes	0.077409872306174	0.780958970873641	0.995681809340043	NS or Estimate < 0.25
beta 2 Microglobulin	No vs Yes	0.511240639112569	0.685791070708057	0.995681809340043	NS or Estimate < 0.25
CTLA4	No vs Yes	-0.0992331338348316	0.653792436981756	0.995681809340043	NS or Estimate < 0.25
TLR7	No vs Yes	0.406380243496006	4.3560550744315e-06	0.00126325597158513	FDR < 0.05
PDGFR alpha + PDGFR beta	No vs Yes	0.121894389156939	0.827776873297393	0.995681809340043	NS or Estimate < 0.25
SIRT3	No vs Yes	0.208727703066791	0.473169930649574	0.995681809340043	NS or Estimate < 0.25
