clusters_unsup_harmony,cell_ID
10,c_1_205_1181
0,c_1_205_1182
0,c_1_205_1183
2,c_1_205_1184
5,c_1_205_1185
0,c_1_205_1186
0,c_1_205_1187
3,c_1_205_1188
3,c_1_205_1190
0,c_1_205_1191
2,c_1_205_1193
0,c_1_205_1194
2,c_1_205_1196
0,c_1_205_1197
5,c_1_205_1199
0,c_1_205_1200
2,c_1_205_1201
0,c_1_205_1202
10,c_1_205_1203
5,c_1_205_1205
0,c_1_205_1207
2,c_1_205_1209
2,c_1_205_1211
2,c_1_205_1212
0,c_1_205_1214
0,c_1_205_1215
0,c_1_205_1216
3,c_1_205_1217
2,c_1_205_1218
2,c_1_205_1219
3,c_1_205_1220
8,c_1_205_1221
3,c_1_205_1222
0,c_1_205_1223
0,c_1_205_1225
0,c_1_205_1226
1,c_1_205_1228
10,c_1_205_1229
1,c_1_205_1230
0,c_1_205_1231
6,c_1_205_1232
5,c_1_205_1234
2,c_1_205_1235
2,c_1_205_1237
3,c_1_205_1238
0,c_1_205_1239
2,c_1_205_1240
0,c_1_205_1241
3,c_1_205_1242
0,c_1_205_1243
0,c_1_205_1244
0,c_1_205_1246
10,c_1_205_1248
1,c_1_205_1249
10,c_1_205_1250
0,c_1_205_1251
5,c_1_205_1252
2,c_1_205_1253
0,c_1_205_1254
0,c_1_205_1255
2,c_1_205_1258
0,c_1_205_1259
0,c_1_205_1260
11,c_1_205_1261
0,c_1_205_1263
0,c_1_205_1264
6,c_1_205_1266
8,c_1_205_1267
5,c_1_205_1268
0,c_1_205_1271
5,c_1_205_1272
0,c_1_205_1273
1,c_1_205_1275
2,c_1_205_1276
0,c_1_205_1277
5,c_1_205_1278
0,c_1_205_1279
0,c_1_205_1280
3,c_1_205_1281
0,c_1_205_1282
2,c_1_205_1283
0,c_1_205_1284
0,c_1_205_1286
0,c_1_205_1287
2,c_1_205_1289
3,c_1_205_1290
0,c_1_205_1291
2,c_1_205_1292
10,c_1_205_1294
0,c_1_205_1295
2,c_1_205_1296
5,c_1_205_1297
0,c_1_205_1298
5,c_1_205_1300
0,c_1_205_1301
17,c_1_205_1303
0,c_1_205_1304
0,c_1_205_1306
2,c_1_205_1307
0,c_1_205_1309
0,c_1_205_1310
2,c_1_205_1312
0,c_1_205_1313
0,c_1_205_1314
5,c_1_205_1315
2,c_1_205_1316
10,c_1_205_1317
2,c_1_205_1318
5,c_1_205_1319
0,c_1_205_1320
0,c_1_205_1321
10,c_1_205_1322
2,c_1_205_1324
0,c_1_205_1326
5,c_1_205_1327
5,c_1_205_1328
0,c_1_205_1329
3,c_1_205_1330
9,c_1_205_1331
2,c_1_205_1332
0,c_1_205_1333
0,c_1_205_1334
0,c_1_205_1335
5,c_1_205_1337
