cluster,cluster_expr,clusterprime_expr,gene,cluster_prop,clusterprime_prop,ncells,typ,fold_change,fold_change_prop
0,0.22259529739653,0.176356779683698,ADAR,0.305423629434184,0.118487123007381,17055,clusters_unsup,1.2621873556308,2.57769470371188
0,0.0328315261285716,0.0407331919580671,ADCY1,0.05259454705365,0.0261298034262091,17055,clusters_unsup,0.806014077226505,2.01281832074158
0,0.0276977791215113,0.0448842203627166,ADCY2,0.042919964819701,0.0288022883151862,17055,clusters_unsup,0.617093911795307,1.49015815514461
0,0.109089599225053,0.0824581175714314,ADCY3,0.171797126942246,0.0544205614306146,17055,clusters_unsup,1.32296979894734,3.15684223804425
0,0.0323200956569311,0.0500394812229896,ADCY5,0.0530049838756963,0.0295434852961134,17055,clusters_unsup,0.645891901095137,1.79413442064905
0,0.0602193028676243,0.0932661737173213,ADCY7,0.0994429785986514,0.0606424403127643,17055,clusters_unsup,0.645671420488867,1.6398248171705
0,0.0270087733211432,0.037932849266755,ADCY8,0.04350630313691,0.0226117276153292,17055,clusters_unsup,0.712015412583684,1.92405922612546
0,0.050630891255782,0.071482059609985,ADCY9,0.087598944591029,0.0493470158991972,17055,clusters_unsup,0.708302076521443,1.77516194231421
0,0.0812672975427517,0.108942695621631,ADD1,0.13374377015538,0.0805399254627261,17055,clusters_unsup,0.745963711279928,1.66058969370758
0,0.0211067735203005,0.0337069802967695,ADD2,0.0361770741717971,0.0199705609086449,17055,clusters_unsup,0.626184052515775,1.81152018399928
0,0.148186343948843,0.0837999329047366,ADD3,0.224743476986221,0.0704345919762817,17055,clusters_unsup,1.76833487584412,3.19081108699972
0,0.0549108588072297,0.114241941846133,ADGRA2,0.0919964819700967,0.0741823344573081,17055,clusters_unsup,0.480654109339166,1.24014002313503
0,0.0742055298111994,0.0677892661708803,ADGRA3,0.119613016710642,0.0549320917413953,17055,clusters_unsup,1.0946501415747,2.17747063544833
0,0.0208022113017958,0.032514044331537,ADGRE1,0.0368220463207271,0.0185194851290831,17055,clusters_unsup,0.63979156482907,1.98828671877608
0,0.037624362995563,0.0482451995477175,ADGRE2,0.0648490178833187,0.0302846822770406,17055,clusters_unsup,0.7798571329019,2.14131412342674
0,0.324105328167172,0.241815714100514,ADGRE5,0.39935502785107,0.157112881168377,17055,clusters_unsup,1.34029886921432,2.54183504803202
0,0.0218792671180977,0.041217977482448,ADGRF1,0.0388155965992378,0.0248770761345012,17055,clusters_unsup,0.530818551866468,1.56029576745178
0,0.0537743584628871,0.0671077824235855,ADGRF3,0.0875403107593081,0.0406927581923145,17055,clusters_unsup,0.801313298112913,2.15125036119674
0,0.0329398353737119,0.0621030833415029,ADGRF5,0.0531222515391381,0.0360054702425071,17055,clusters_unsup,0.530405796320559,1.47539391046262
0,0.242860442403131,0.0944079793209294,ADGRG1,0.333978305482263,0.0761031829712603,17055,clusters_unsup,2.57245673670818,4.38849325932119
0,0.047923257482908,0.0930085416858362,ADGRG3,0.0775139255350337,0.0473635310206596,17055,clusters_unsup,0.515256519608521,1.636574044727
0,0.0279923358012981,0.0493056421906087,ADGRG5,0.0490178833186749,0.0291363489263083,17055,clusters_unsup,0.567730883477467,1.68236189931178
0,0.0632328240617421,0.0617035115220489,ADGRG6,0.098504837291117,0.0396383793884603,17055,clusters_unsup,1.02478485424848,2.48508740293742
0,0.0878375479030059,0.0792319957484481,ADGRL1,0.128994429785987,0.0549738493177856,17055,clusters_unsup,1.10861208370769,2.34646893726347
0,0.0282259821639957,0.0738781143830058,ADGRL2,0.0463207270595133,0.0438976521802675,17055,clusters_unsup,0.382061485999276,1.05519827960948
0,0.0380745798356104,0.0689992940083645,ADGRL3,0.0580474934036939,0.0377697278449959,17055,clusters_unsup,0.551811150864744,1.53687878403351
0,0.0274255447694267,0.0619987284453286,ADGRL4,0.0457930225740252,0.0327901368604566,17055,clusters_unsup,0.442356568548192,1.39654868684764
0,0.0306224998545625,0.0448594439738633,ADGRV1,0.0505423629434184,0.0282385610339176,17055,clusters_unsup,0.682632176011908,1.78983493113234
0,0.0268215703925837,0.0460713432869022,ADH1A,0.0428026971562592,0.0272676973828439,17055,clusters_unsup,0.582174698609426,1.5697217317363
0,0.0238108989857164,0.0336847340949898,ADH1B,0.0402228085605394,0.0217765760875239,17055,clusters_unsup,0.706875076364576,1.84706761976157
0,0.0846052442306398,0.129095627809777,ADH1C,0.122368806801524,0.0806234406155067,17055,clusters_unsup,0.655368781004003,1.51778199822929
0,0.032544696091926,0.0430245209568421,ADH4,0.0517150395778364,0.0257748640268919,17055,clusters_unsup,0.756422044177358,2.00641367201317
0,0.17183579328136,0.183043304300588,ADH5,0.246027557900909,0.121775532148114,17055,clusters_unsup,0.938771259281778,2.02033654512524
0,0.0434813378368386,0.0500567220866527,ADH6,0.0724714160070361,0.0310363186520654,17055,clusters_unsup,0.868641333756704,2.33505193768247
0,0.0505091073370725,0.0856429905478973,ADIPOQ,0.0885957197302844,0.0504953492499295,17055,clusters_unsup,0.589763470588108,1.75453226972993
0,0.162769180780718,0.111458476012599,ADIPOR1,0.243213133978306,0.0838596527857523,17055,clusters_unsup,1.46035713571321,2.90024017389716
0,0.115620181295059,0.0838995382168053,ADIPOR2,0.171269422456758,0.0638055767243269,17055,clusters_unsup,1.37807887567014,2.68423907829765
0,0.139667106298912,0.142069821304969,ADIRF,0.198592788038698,0.0870123498032174,17055,clusters_unsup,0.983087787511894,2.28235174073365
0,0.0777717273905672,0.212171971862067,ADM,0.121899736147757,0.111263062291865,17055,clusters_unsup,0.366550429390017,1.09559932682772
0,0.0336881586850414,0.0540948571375616,ADM2,0.0535326883611844,0.0330198035306031,17055,clusters_unsup,0.622760840265709,1.62122976629978
0,0.10390335307914,0.101805886417337,ADNP2,0.155672823218997,0.0701527283356474,17055,clusters_unsup,1.02060260693772,2.2190558644302
0,0.0461586249362358,0.0670004684329167,ADORA1,0.07856933450601,0.0393773945360211,17055,clusters_unsup,0.6889298838627,1.99529032917953
0,0.0376319474331026,0.0920156137263971,ADORA2A,0.060451480504251,0.050171728032905,17055,clusters_unsup,0.408973498182591,1.20489133769927
0,0.101484909717797,0.0946759300641022,ADORA2B,0.15842861330988,0.0655698343268157,17055,clusters_unsup,1.07191880395667,2.41618138792656
0,0.0361639043864443,0.0517524362059816,ADPGK,0.0618586924655526,0.0372686369283127,17055,clusters_unsup,0.698786512049543,1.65980560503298
0,0.0376031633609259,0.0592838888917867,ADPRM,0.0601583113456464,0.0343247277927989,17055,clusters_unsup,0.634289755005184,1.75262311499721
0,0.0284779660886439,0.0461891780110397,ADRA1A,0.0463207270595133,0.0266100155546972,17055,clusters_unsup,0.616550614558184,1.74072529060724
0,0.0467077099688176,0.0746813461143723,ADRA1B,0.0768103195543829,0.0495558037811485,17055,clusters_unsup,0.625426728346408,1.54997626299429
0,0.0309209484518345,0.0369587438789668,ADRA1D,0.0541190266783934,0.02312325792611,17055,clusters_unsup,0.836634181970442,2.34045854832956
