cell_ID,best_class_tmajor,best_score_tmajor,cd8t,cd4t,celltype_thresh,celltype_granular,best_score_granular,best_score_thresh,best_class_t4minor,best_score_t4minor,cd4_naive,cd4_tem,cd4_tcm,cd4_th1,cd4_th2,cd4_th17,cd4_treg,best_class_t8minor,best_score_t8minor,cd8_naive,cd8_tem,cd8_tcm,cd8_cytotoxic,cd8_exhausted
c_1_12_629,cd8t,0.999999394276468,0.999999394276468,6.05723531786095e-07,cd8t,cd8_cytotoxic,0.610845026905215,0.999999394276468,cd4_tem,1.71041021655966e-07,8.69541893661533e-09,1.71041021655966e-07,4.06011878631092e-08,1.2879257171463e-07,4.66427484162755e-09,1.19997632553794e-07,1.31931424220353e-07,cd8_cytotoxic,0.610845026905215,0.00178920118208199,0.260144116294524,1.90668416299701e-05,0.610845026905215,0.127201983053017
c_1_12_683,cd4t,0.995819193715547,0.00418080628445314,0.995819193715547,cd4t,cd4_treg,0.613622641017697,0.995819193715547,cd4_treg,0.613622641017697,0.170560117316951,0.000163928333579177,0.107458498956493,0.00310191165219449,0.0926930351534393,0.00821906128519268,0.613622641017697,cd8_exhausted,0.00399641560412643,9.43333898861477e-07,3.50184222512538e-09,4.54845606759655e-07,0.000182988998978871,0.00399641560412643
c_1_12_828,cd4t,0.615518078078139,0.384481921921861,0.615518078078139,tmajor,cd4_treg,0.538191795344119,0.615518078078139,cd4_treg,0.538191795344119,4.55772612238774e-05,2.10727196107941e-05,3.81113817104631e-08,6.02360115894856e-06,0.070137328602717,0.00711624243792705,0.538191795344119,cd8_cytotoxic,0.224873466975584,5.1907661978279e-06,1.32919915241851e-05,2.75356636787529e-07,0.224873466975584,0.159589696831918
c_1_12_922,cd8t,0.999990425966831,0.999990425966831,9.57403316955324e-06,cd8_cytotoxic,cd8_cytotoxic,0.986377716978617,0.986377716978617,cd4_tem,6.75727290345921e-06,6.1853706594959e-08,6.75727290345921e-06,8.066163932081e-08,9.74880861330209e-07,1.25509614526308e-07,1.05289332682677e-06,5.20961117494978e-07,cd8_cytotoxic,0.986377716978617,2.50090321639387e-05,0.0135459200680837,4.05296012415736e-05,0.986377716978617,1.25028672499304e-06
c_1_13_1030,cd8t,0.999982178549596,0.999982178549596,1.78214504035385e-05,cd8_cytotoxic,cd8_cytotoxic,0.866600002571734,0.866600002571734,cd4_th17,1.45513238895522e-05,9.21096014658614e-07,4.30477994792048e-09,7.75510998600128e-07,1.29533787309408e-06,1.45063440667321e-07,1.45513238895522e-05,1.28813407018262e-07,cd8_cytotoxic,0.866600002571734,0.123681926447657,0.00363918897609062,0.00605302414378684,0.866600002571734,8.03641032823657e-06
c_1_13_1427,cd8t,0.997566532225685,0.997566532225685,0.00243346777431558,cd8t,cd8_exhausted,0.542570005545116,0.997566532225685,cd4_tem,0.0012229587083443,2.94404575478144e-07,0.0012229587083443,3.41319897332195e-06,0.000213459247642531,4.78809443407459e-06,9.12996908216721e-06,0.00097942415126371,cd8_exhausted,0.542570005545116,0.000353957384549871,0.273798338156879,2.85923091754733e-05,0.180815638829965,0.542570005545116
c_1_13_1428,cd8t,0.613583607277211,0.613583607277211,0.38641639272279,tmajor,cd8_exhausted,0.453916078574772,0.613583607277211,cd4_th1,0.178511792201588,0.00163823364123764,3.51847824101358e-05,0.00162319626320272,0.178511792201588,0.000775260804218964,0.0402241432688345,0.163608581761298,cd8_exhausted,0.453916078574772,1.46813265965297e-05,0.0138611119341044,8.56503650611237e-08,0.145791649791373,0.453916078574772
c_1_13_1431,cd8t,0.999999264217061,0.999999264217061,7.35782939183286e-07,cd8t,cd8_tem,0.614610457316291,0.999999264217061,cd4_tem,5.52332682211891e-07,2.96603464920946e-10,5.52332682211891e-07,5.93214021174193e-10,1.82272208028413e-07,1.138245809491e-16,8.58873501810063e-11,2.02343992879831e-10,cd8_tem,0.614610457316291,3.72888728213784e-05,0.614610457316291,1.08331453026965e-08,0.383882255606373,0.00146925158843018
c_1_13_1457,cd8t,0.999985891559824,0.999985891559824,1.41084401762258e-05,cd8t,cd8_tem,0.605081883648349,0.999985891559824,cd4_tem,4.95153486578748e-06,3.75130122759546e-07,4.95153486578748e-06,6.39906070318112e-07,1.97921232977244e-06,4.90406229324161e-06,8.32804113040668e-07,4.25790381305998e-07,cd8_tem,0.605081883648349,0.000235288432441287,0.605081883648349,0.000232175968768888,0.18995507742718,0.204481466083084
c_1_13_1464,cd8t,0.999999801737255,0.999999801737255,1.98262745160748e-07,cd8t,cd8_tem,0.393137633021607,0.999999801737255,cd4_th1,1.05432061032421e-07,1.03867907905711e-10,7.21776005236069e-08,1.8395277957843e-10,1.05432061032421e-07,4.20690083014573e-11,1.68899529255308e-08,3.43324098340361e-09,cd8_tem,0.393137633021607,4.43691325104572e-05,0.393137633021607,2.17699024889158e-14,0.363479818004609,0.243337981578506
c_1_13_1571,cd4t,0.993115779698642,0.0068842203013576,0.993115779698642,cd4t,cd4_treg,0.739547816376044,0.993115779698642,cd4_treg,0.739547816376044,4.84413830039141e-05,3.05172953903556e-06,2.4912502994097e-07,0.00387372019762218,0.239243040081103,0.0103994608063005,0.739547816376044,cd8_exhausted,0.00624410523127976,1.4001145679473e-06,8.70901850652082e-06,7.36562479139411e-08,0.000629932280755449,0.00624410523127976
c_1_13_20,cd8t,0.580415693648377,0.580415693648377,0.419584306351623,tmajor,cd8_cytotoxic,0.483714472618919,0.580415693648377,cd4_treg,0.270375829180548,0.00146748155088886,0.000110435500663641,7.89049819605174e-05,0.000129222208415921,0.096252234352859,0.0511701985762875,0.270375829180548,cd8_cytotoxic,0.483714472618919,3.57352217813209e-05,0.000364431515742608,4.92923992878262e-06,0.483714472618919,0.0962961250520057
c_1_13_30,cd8t,0.999999771679221,0.999999771679221,2.28320779521325e-07,cd8t,cd8_tem,0.780201122248374,0.999999771679221,cd4_tem,2.26457387831665e-07,1.69584633371748e-09,2.26457387831665e-07,1.42981637808025e-11,9.07144846367532e-12,8.88284677356048e-16,1.66337356997261e-11,1.27541119713173e-10,cd8_tem,0.780201122248374,0.000104150155344268,0.780201122248374,1.15287430897629e-10,0.202991426678101,0.0167030724821142
c_1_13_38,cd4t,0.998500059680573,0.00149994031942701,0.998500059680573,cd4_treg,cd4_treg,0.993892848213358,0.993892848213358,cd4_treg,0.993892848213358,0.00108885960454468,0.00017592352928045,4.98358304650229e-06,1.85402328598295e-07,0.00329266126358571,4.45980844283163e-05,0.993892848213358,cd8_exhausted,0.00149131510075854,1.87238810165117e-06,7.42031033522791e-07,2.72569418161915e-07,5.73823011513526e-06,0.00149131510075854
c_1_13_533,cd4t,0.997236969097311,0.00276303090268944,0.997236969097311,cd4t,cd4_th2,0.378469123929752,0.997236969097311,cd4_th2,0.378469123929752,0.192332957907535,0.00240462612966497,0.0426981416094621,0.0785333543068217,0.378469123929752,0.0015532283314594,0.301245536882615,cd8_naive,0.00273154204172763,0.00273154204172763,9.37349373616446e-06,1.261759989501e-05,7.18130195638811e-14,9.49776725883028e-06
c_1_13_538,cd8t,0.999998428818457,0.999998428818457,1.57118154227792e-06,cd8t,cd8_cytotoxic,0.672036059185659,0.999998428818457,cd4_treg,1.38636763972496e-06,1.82915756709067e-08,3.71329683363467e-11,1.38994365883653e-10,3.33527165957529e-08,1.21583580556025e-07,1.14099023960611e-08,1.38636763972496e-06,cd8_cytotoxic,0.672036059185659,2.5150042818486e-05,1.4386437220151e-05,8.00089767320376e-06,0.672036059185659,0.327914832255086
c_1_13_738,cd4t,0.969160768856165,0.0308392311438347,0.969160768856165,cd4t,cd4_treg,0.625962545896497,0.969160768856165,cd4_treg,0.625962545896497,0.0285681278048312,0.0333145655757878,0.00739343552588026,0.0049334962561658,0.116382052959168,0.152606544837834,0.625962545896497,cd8_exhausted,0.0271971469823826,0.00026237028991338,6.93352713759156e-05,0.000626462263616124,0.00268391633654673,0.0271971469823826
c_1_13_802,cd8t,0.99711392844775,0.99711392844775,0.00288607155224956,cd8t,cd8_exhausted,0.640173028081884,0.99711392844775,cd4_treg,0.00207553548448838,2.3739395238801e-06,3.19542204390794e-07,4.06820828986259e-06,0.000116804512180035,0.000679748380662291,7.22148490071661e-06,0.00207553548448838,cd8_exhausted,0.640173028081884,6.37156750644576e-08,2.23582701335611e-05,1.6273763003777e-11,0.356918478363784,0.640173028081884
c_1_13_828,cd4t,0.816450269488761,0.183549730511239,0.816450269488761,cd4t,cd4_th1,0.398875563719632,0.816450269488761,cd4_th1,0.398875563719632,0.0109242869401619,0.0182882848475627,0.0578133279712556,0.398875563719632,0.315348514266136,0.00217625744743094,0.0130240342965835,cd8_cytotoxic,0.0781340812628966,0.0738331603913214,0.00558100058129341,0.00939325532217419,0.0781340812628966,0.0166082329535531
c_1_13_850,cd8t,0.998765842263455,0.998765842263455,0.0012341577365454,cd8t,cd8_exhausted,0.51319193447982,0.998765842263455,cd4_th2,0.00107277047839332,9.35518928037393e-07,8.32822245877972e-07,1.54535750707896e-09,3.76056903938351e-06,0.00107277047839332,2.12884206658521e-07,0.000155643918374618,cd8_exhausted,0.51319193447982,2.82100096703293e-06,1.69309250334883e-06,3.14192186441772e-08,0.485569362270946,0.51319193447982
